cuestionario,factor,zona,campo,genero,filtro_a,p1edad,edadr,filtro_b,filtro_c,voluntad,p2,p2_1,p2_1_1,p2_2,p2_2_1,p3,p4,p5,p6,p7,p7_1,p7_2,p7_2_1,p7_2_2,p7_2_3,p7_2_4,p7_3,p7_3_1,p7_3_2,p8,p9estrato,p10,p11,p11_1,p12,p12_1,p12_2,p13,p14,p15,p15_1,p16,p16_1,p17,p17_v2_1,p17_v2_2,p17_v2_3,p17_v3,p17_v3_otro,p17_v4,p17_v5,p17_v6,p17_v7,p17_v7_1,p18,p18_p1,p18_p2,p18_p3,p18_p4,p18_c1,p19comuna,p20,p20_1,p20_1_otro,p21,p22,p23,p23_1,p23_2,p24,p25,p25_1,p25_2,p25_3,p25_4,p26,p27,p27_1,p27_2,p27_3,p27_4,p27_5,p27_6,p27_7,p27_8,p27_9,p27_10,p27_otro,p28p28_1,p28p28_2,p28p28_3,p28p28_4,p28p28_5,p28p28_6,p28p28_7,p28p28_8,p28p28_9,p29,p29_otro,p30,p30_otro,p31,p32,p33,p33_otro,p34,p34_otro,p35,p35_otro,p36,p37,p38p38_1,p38p38_2,p38p38_3,p38p38_4,p38p38_5,p38p38_6,p38p38_7,p38p38_99,p38_99_otro,p39,p39_1,p39_otro,p39_1_2,p39_1_1,p39_1_otro,p39_2,p40,p41,p47latitude,p47longitude,p47altitude,p47accuracy
1,5176.076781,Urbana Oriente,Presencial en hogares,Masculino,Si,54,45 - 54 años,No,Si,Si,Si,Putumayo,Orito,,,"Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a)",Si,Ninguno,"No sabe, No responde",Trabajar,Trabajador independiente o por cuenta propia,Lunes,Martes,Miércoles,,,,,,Sola(o),Estrato 1,Menos de 100 mil pesos,No,,Ninguna dificultad,,,No,No,0,,0,,Guala o pirata,,,,,,,,,,,,2,60,40,4,,Comuna 14,Cali,Comuna 18,,Tres,Entre 4 y 7 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,Totalmente satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),La distancia que debe recorrer,,,,La vulnerabilidad frente accidentes de tránsito,Congestión de tráfico,Multitud de personas,,,,,,,,,,,Muy importante,4,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,4,Campero/ Camioneta (SUV),,Es el medio de transporte que utiliza,,Uso de aerosoles y productos químicos,Moderado,Van/Camioneta con platón,,Campero/ Camioneta (SUV),,Costos altos,,Muy importante,4,No,No,No,No,Si,Si,Si,No,,Mientras caminaba,,,No tomó ninguna acción,,,Si,Hombre,No,3.4203494,-76.4822207,980.7000122,11.989
2,5660.793001,Urbana Oriente,Presencial en hogares,Femenino,Si,45,45 - 54 años,No,Si,Si,Si,Valle,Cali,,,Indígena,Si,Técnico profesional,No,Incapacitado permanente para trabajar,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 1,Entre 100 y 300 mil pesos,Si,Un hombre de la familia que vive con usted,"Dificultad permanente para moverse (por ejemplo utiliza silla de ruedas, muleta, caminadores)",Dificultad temporal para moverse,"Dificultad para ver, aún utilizando lentes","Sí, auto y motocicleta",Si de auto y motocicleta,1,1,1,1,Transporte público (MIO),,,,,,,,,,,,20,30,120,10,,Comuna 14,Cali,Comuna 2,,Cuatro o más,Entre 8 y 12 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),,,,,Las condiciones de incomodidad,Ser víctima de robo o atraco,,,,,,,,,,,,Muy importante,2,Muy importante,3,3,3,3,4,Muy importante,Transporte público (MIO),,Es el medio de transporte que utiliza,,Incineración de residuos,Moderado,Moto 2T,,Automóvil,,Inseguridad,,Nada Importante,3,Si,No,No,No,Si,No,No,No,,Entre el paradero y la casa,Mientras caminaba,,"Cambió de lugar (por ejemplo, caminó hacía otro paradero, o se cambio de puesto en el bus)",,,Si,Mujer,No,3.4194543,-76.4824128,981.7999878,14.399
3,5660.793001,Urbana Oriente,Presencial en hogares,Femenino,Si,53,45 - 54 años,No,Si,Si,Si,Nariño,Nariño,,,"Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a)",Si,Secundaria completa,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,Con sus hijos y otros familiares,Estrato 1,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,,No,No,0,,1,1,Moto 2T,,No sabe / No responde,,Gasolina corriente,,2014,Otro municipio,Acompañante (pasajero o parrilero),Siempre,1,20,,,,,,Comuna 14,Cali,Comuna 14,,Tres,Más de 12 km,A realizar algún trámite personal,,,Muy Satisfecho,El tiempo de viaje,,,,,No sabe/ No responde,Congestión de tráfico,,,,,,,,,,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Moto 4T,,Razones de salud,,Incineración de residuos,Moderado,Transporte público (MIO),,Campero/ Camioneta (SUV),,Inseguridad,,Nada Importante,Nada Importante,No sabe,No sabe,No sabe,No sabe,No sabe,No sabe,No sabe,No sabe,,,,,,,,No,Mujer,No,3.421236,-76.4796242,0,899.999
4,5176.076781,Urbana Oriente,Presencial en hogares,Masculino,Si,75,65 - 80 años,No,Si,Si,Si,Tolima,Cortega,,,Ninguna de las anteriores,Si,Secundaria incompleta,Si,Es pensionado(a),,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 1,Menos de 100 mil pesos,Si,Una cuidadora o trabajadora doméstica,Ninguna dificultad,,,No,No,0,,2,1,Transporte público (MIO),,,,,,,,,,,,10,20,30,20,,Comuna 14,Cali,Comuna 3,,Dos,Entre 8 y 12 km,A realizar compras,,,Muy Satisfecho,La percepción de seguridad,,,,,El costo de uso u operación,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,,,,,,,,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Transporte público (MIO),,Es el medio de transporte que utiliza,,Empresas manufactureras,Moderado,Camión liviano,,Moto 4T,,Inseguridad,,4,2,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,3.4193921,-76.4824771,992.7918701,4.571
5,5660.793001,Urbana Oriente,Presencial en hogares,Femenino,Si,62,55 - 64 años,No,Si,Si,Si,Caldas,Manizales,,,Ninguna de las anteriores,Si,Secundaria completa,No,Trabajar,Trabajador independiente o por cuenta propia,Ningún día,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 1,Menos de 100 mil pesos,No,,"Dificultad para ver, aún utilizando lentes",,,No,No,0,,Más de 3,2,Moto 4T,,125 cc,,Gasolina corriente,,2023,Cali,Acompañante (pasajero o parrilero),Siempre,1,60,,,,,,Comuna 14,Cali,Comuna 3,,Uno,Más de 12 km,A asistir a alguna actividad de tipo religioso y/o de culto (la iglesia),,,Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),El tiempo de viaje,,,,La exposición a condiciones climáticas desfavorables (lluvia o calor),Tiempos de espera largos o inciertos,Congestión de tráfico,,,,,,,,,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Camión liviano,,Costos asociados,,Vertederos (basureros) y rellenos sanitarios,Muy alto,Camión liviano,,Guala o pirata,,Falta de información,,Nada Importante,Muy importante,No,No,No,No,Si,Si,No,No,,En los paraderos o estaciones,,,No tomó ninguna acción,,,No,Mujer,No,3.4202398,-76.48239,983.2999878,4.79
6,4625.032155,Urbana Oriente,Presencial en hogares,Masculino,Si,47,45 - 54 años,No,Si,Si,Si,Cauca,Puerto Tejada,,,"Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a)",No,Técnico profesional,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a domingo,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 2,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,,"Sí, auto y motocicleta",Si de auto y motocicleta,1,2,1,2,Transporte público (MIO),,,,,,,,,,,,10,5,20,5,,Comuna 16,Cali,Comuna 3,,Dos,Más de 12 km,Ir a estudiar,,,Totalmente satisfecho,Restricciones de circulación (Ejemplo: pico y placa),La comodidad (confort),,,,La vulnerabilidad frente accidentes de tránsito,Tiempos de espera largos o inciertos,Dificultad para encontrar parqueadero,,,,,,,,,,,Muy importante,Muy importante,Muy importante,Muy importante,3,3,4,Muy importante,3,Automóvil,,Otra razón ¿Cuál?,Parqueadero,Incineración de residuos,Bajo,Moto 2T,,Moto en plataforma (Ejemplo: Didi),,Falta de información,,Muy importante,Muy importante,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,3.4194646,-76.4828747,987,4.987
7,5660.793001,Urbana Oriente,Presencial en hogares,Femenino,Si,37,35 - 44 años,No,Si,Si,Si,Valle,Cali,,,Ninguna de las anteriores,No,Técnico profesional,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a domingo,,,,,,,,Sola(o) con sus hijas o hijos,Estrato 1,Menos de 100 mil pesos,No,,Ninguna dificultad,,,"Sí, motocicleta","Si, motocicleta",1,2,1,2,Moto 4T,,Menos de 125 cc,,Gasolina corriente,,No sabe / No responde - NO LEA,Cali,Conductor,Algunas veces,2,10,,,,,,Comuna 14,Cali,Comuna 8,,Tres,Entre 8 y 12 km,Ir a trabajar,,,Muy Satisfecho,El tiempo de viaje,El costo (sus posibilidades económicas o capacidad adquisitiva),,,,Las condiciones de incomodidad,Congestión de tráfico,Tiempos de espera largos o inciertos,,,,,,,,,,,4,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Automóvil,,Costos asociados,,Los vehículos que circulan en la ciudad,Bajo,Mio Cable,,Campero/ Camioneta (SUV),,Inseguridad,,Nada Importante,4,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,3.4195663,-76.482506,981.7999878,14.535
8,5660.793001,Urbana Oriente,Presencial en hogares,Femenino,Si,55,55 - 64 años,No,Si,Si,Si,Valle,Cali,,,"Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a)",No,Secundaria completa,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a sábado,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 1,Entre 300 mil y 500 mil pesos,Si,Una mujer de la familia que vive con usted,Ninguna dificultad,,,No,No,0,,2,1,Transporte público colectivo busetas,,,,,,,,,,,,10,30,30,10,,Comuna 14,Cali,Comuna 3,,Dos,Entre 8 y 12 km,Ir a trabajar,,,Nada Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),La comodidad (confort),,,,El tiempo de espera,Tiempos de espera largos o inciertos,Multitud de personas,,,,,,,,,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,4,Muy importante,Muy importante,Muy importante,Moto 2T,,Costos asociados,,Los vehículos que circulan en la ciudad,Muy alto,Mio Cable,,Camión pesado,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,Nada Importante,Muy importante,No,Si,Si,Si,Si,Si,Si,No,,Mientras caminaba,,,No tomó ninguna acción,,,Si,Mujer,No,3.4188452,-76.4830181,982.7999878,10.455
9,5176.076781,Urbana Oriente,Presencial en hogares,Masculino,Si,40,35 - 44 años,No,Si,Si,Si,Valle,Cali,,,Ninguna de las anteriores,No,Básica primaria incompleta,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a domingo,,,,,,,,"Con otras personas que no son de su familia (amigos, compañeros)",Estrato 1,Entre 300 mil y 500 mil pesos,Si,Una mujer de la familia que vive con usted,Ninguna dificultad,,,"Sí, motocicleta",No,0,,1,1,"Moto en plataforma (Ejemplo: Didi, Picap, Uber, otras)",,,,,,,,,,,30,,,,,,Comuna 14,Cali,Comuna 10,,Cuatro o más,Más de 12 km,Ir a trabajar,,,Nada Satisfecho,Condiciones de salud propias o de un familiar,,,,,Nada me disgusta,Ser víctima de situaciones de discriminación,Otro ¿Cuál?,,,,,,,,,,Ninguna,Muy importante,Muy importante,Muy importante,Muy importante,3,Muy importante,Nada Importante,Muy importante,Muy importante,Moto 2T,,No hay cobertura del modo de transporte,,Los vehículos que circulan en la ciudad,Alto,Automóvil,,Automóvil,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,Nada Importante,4,No,Si,Si,Si,Si,No,Si,No,,En los paraderos o estaciones,,,Avisó a los guardas del sistema de transporte,Llamó a alguien conocido (para contarle o desahogarse),,Si,Hombre,No,3.4203878,-76.4817219,979.3999634,12.201
10,5176.076781,Urbana Oriente,Presencial en hogares,Masculino,Si,45,45 - 54 años,No,Si,Si,Si,Tolima,Ibagué,,,"Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a)",Si,Básica primaria incompleta,Si,Trabajar,Empleado(a) doméstico,De lunes a viernes,,,,,,,,Sola(o),Estrato 1,Menos de 100 mil pesos,No,,Ninguna dificultad,,,No,No,1,1,1,1,Moto taxi (moto ratón),,,,,,,,,,,40,15,40,60,10,,Comuna 14,Cali,Comuna 4,,Uno,Más de 12 km,Ir a trabajar,,,Nada Satisfecho,La distancia que debe recorrer,,,,,El costo de uso u operación,Exposición a condiciones climáticas desfavorables (lluvia o calor),,,,,,,,,,,,Nada Importante,2,Nada Importante,2,Muy importante,Muy importante,4,Muy importante,Muy importante,Automóvil,,Otra razón ¿Cuál?,Acoso,Los vehículos que circulan en la ciudad,Muy alto,Automóvil,,Automóvil,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,Nada Importante,Muy importante,No,No,No,No,Si,No,No,No,,Entre el paradero y la casa,,,Otro,,Discutir,Si,Hombre,No,3.420433,-76.4817362,979.3999634,12.739
